2023-01-11 23:59:21 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()="Login"]
2023-01-11 23:59:21 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //a[text()="Login"]
2023-01-11 23:59:21 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //a[text()="Login"]]
2023-01-11 23:59:21 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //a[text()="Login"]]
2023-01-11 23:59:21 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@name="email"]
2023-01-11 23:59:21 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //input[@name="email"]
2023-01-11 23:59:21 INFO  WebDriverEvent:84 - Finding elementBy.id: input-password
2023-01-11 23:59:21 INFO  WebDriverEvent:89 - Element FoundBy.id: input-password
2023-01-11 23:59:21 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@type="submit"]
2023-01-11 23:59:21 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //input[@type="submit"]
2023-01-11 23:59:21 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //input[@type="submit"]]
2023-01-11 23:59:22 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //input[@type="submit"]]
2023-01-11 23:59:22 INFO  CustomListener:20 - Test execution has started for : verifySubscription
2023-01-11 23:59:22 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()='Subscribe / unsubscribe to newsletter']
2023-01-11 23:59:22 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //a[text()='Subscribe / unsubscribe to newsletter']
2023-01-11 23:59:22 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //a[text()='Subscribe / unsubscribe to newsletter']]
2023-01-11 23:59:23 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //a[text()='Subscribe / unsubscribe to newsletter']]
2023-01-11 23:59:23 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@value="1"]
2023-01-11 23:59:23 INFO  WebDriverEvent:89 - Element FoundBy.xpath: //input[@value="1"]
2023-01-11 23:59:23 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //input[@value="1"]]
2023-01-11 23:59:23 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> xpath: //input[@value="1"]]
2023-01-11 23:59:23 INFO  WebDriverEvent:84 - Finding elementBy.cssSelector: input.btn-primary
2023-01-11 23:59:23 INFO  WebDriverEvent:89 - Element FoundBy.cssSelector: input.btn-primary
2023-01-11 23:59:24 INFO  WebDriverEvent:84 - Finding elementBy.cssSelector: div.alert-success
2023-01-11 23:59:24 INFO  WebDriverEvent:89 - Element FoundBy.cssSelector: div.alert-success
2023-01-11 23:59:24 INFO  WebDriverEvent:156 - getting text from [[ChromeDriver: chrome on WINDOWS (83c1ef6c035e906a76fd4a28ba8eb87c)] -> css selector: div.alert-success]
